post_num,date,title,claim,verasity,category,share,tags,url
post-158309,22 August 2018,Did a ‘New Deadly Spider’ Species Kill Several People in the U.S. in the Summer of 2018?,A species of spider new to the U.S. has a lethal bite which killed five people in the summer of 2018.,false,animals ,,animals spiders ,https://www.snopes.com/fact-check/new-deadly-spider/
post-162972,23 September 2018,Is This a Photograph of Christine Blasey Ford Partying?,"A photograph of a topless, drinking woman pictures a young Christine Blasey Ford.",false,photos ,,christine-blasey-ford ,https://www.snopes.com/fact-check/blasey-online-photos/
post-163392,25 September 2018,Is This a Photograph of Christine Blasey Ford with Bill Clinton?,"Photographs show Dr. Christine Blasey Ford with George Soros, Harvey Weinstein, and Bill Clinton.",false,photos ,,,https://www.snopes.com/fact-check/ford-george-soros/
post-165166,7 October 2018,‘Got Another Friend Request from You’ Facebook Warning,"A warning about ""another friend request"" alerts Facebook users about potential account ""cloning.""",false,computers ,,facebook ,https://www.snopes.com/fact-check/got-another-friend-request-facebook-warning/
post-166976,18 October 2018,Did All Democrats Vote Against a 2.8 Percent Social Security COLA Increase?,All the Congressional Democrats voted against a 2.8 percent Social Security cost of living allowance.,false,controversy politics ,,social-security ,https://www.snopes.com/fact-check/democrats-vote-cola/
post-171180,18 November 2018,Were Some Voters’ Absentee Ballots Returned as ‘Undeliverable’?,"A voter in Chatham County, Georgia, had a mail-in ballot returned and listed as ""undeliverable"" even though it was addressed to a county-approved P.O. box.",true,ballot-box politics ,,,https://www.snopes.com/fact-check/absentee-ballots-undeliverable/
post-171399,16 November 2018,Did Obama Block Fox News Reporters from White House Press Conferences?,The Obama administration blocked or banned Fox News reporters from White House press conferences.,mostly-false,politicians politics ,,barack-obama donald-trump fox-news white-house-press ,https://www.snopes.com/fact-check/obama-block-fox-news-reporters/
post-171415,19 November 2018,PETA Founder Ingrid Newkirk on Euthanizing Animals,Four quotations attributed to PETA president and co-founder Ingrid Newkirk in a viral November 2018 meme are authentic. ,mixture,politics political-quotes ,,animal-rights peta ,https://www.snopes.com/fact-check/ingrid-newkirk-quotes-peta-euthanasia/
post-171495,15 November 2018,Did Barack Obama Visit Arlington Cemetery on Veterans Day?,A photograph shows former president Barack Obama visiting Arlington National Cemetery alone in the rain in November 2018. ,miscaptioned,photos ,,arlington-national-cemetery president-obama president-trump veterans-day ,https://www.snopes.com/fact-check/obama-in-cemetery-on-veterans-day/
post-171517,15 November 2018,Is Facebook Deleting an Image of a Cross Carved to Honor Fallen Firefighters?,Facebook is deleting an image of a cross carved in honor fallen firefighters.,false,photos ,,,https://www.snopes.com/fact-check/cross-honor-fallen-firefighters/
post-171560,15 November 2018,Do Recent Wildfires Match Up “Exactly” with California’s Proposed High Speed Railway?,The November 2018 California wildfires matched up “exactly” with the route of California’s proposed high speed railway.,false,photos ,,california-fires high-speed-rail ,https://www.snopes.com/fact-check/wildfires-california-high-speed-railway/
post-171592,16 November 2018,Was Donald Trump the First President in 56 Years Not to Visit Arlington National Cemetery on Veterans Day?,November 2018 marked the first Veterans Day in 56 years upon which the sitting U.S. president did not attend a wreath-laying ceremony at the Tomb of the Unknown Soldier in Arlington National Cemetery. ,false,military-politics politics ,,donald-trump veterans-day ,https://www.snopes.com/fact-check/trump-veterans-day-56-years/
post-171663,16 November 2018,Was the ‘Intern’ Who Took Acosta’s Microphone Actually the Deputy Press Secretary?,The intern who took away Jim Acosta's microphone at a White House Press Conference was actually Deputy Press Secretary Lindsay Walters.,false,photos ,,cnn donald-trump ,https://www.snopes.com/fact-check/cnn-microphone-intern/
post-171692,16 November 2018,Were This Fawn and Bobcat Found Huddled Together After a California Wildfire?,A photograph shows a fawn and a bobcat huddled together during the California Camp Fire of November 2018. ,miscaptioned,photos ,,,https://www.snopes.com/fact-check/fawn-bobcat-fire/
post-171734,16 November 2018,"Are Indonesian Teens Drinking Boiled, Bloody Menstrual Pads to Get “High” in a “New Trend”?",Boiling menstrual pads and drinking the water to get “high” or “drunk” is an alarming new trend amongst Indonesian teens. ,mixture,medical ,,indonesia ,https://www.snopes.com/fact-check/boiled-menstrual-pads/
post-171741,16 November 2018,"Were 53,000 Dead People Found on Florida’s Voter Rolls?","Some 53,000 dead people were found to be included in Florida's voter rolls in November 2018. ",false,ballot-box politics ,,florida voter-fraud ,https://www.snopes.com/fact-check/53000-dead-florida-voters/
post-171890,19 November 2018,Did Democrat Rep. Eric Swalwell ‘Suggest Nuking’ Gun Owners Who Resist Confiscation?,"In November 2018, Democratic U.S. Representative Eric Swalwell suggested launching nuclear weapons against gun-owners who refused to hand over or sell semi-automatic rifles to the U.S. government. ",mixture,politics-guns politics ,,gun-control ,https://www.snopes.com/fact-check/eric-swalwell-gun-owners-nukes/
post-171896,19 November 2018,Did Donald Trump Predict Osama bin Laden Would Attack the US?,"Donald Trump predicted that Osama bin Laden would attack the U.S. in his 2000 book, 'The America We Deserve.'",mostly-false,politicians politics ,,donald-trump osama-bin-laden ,https://www.snopes.com/fact-check/trump-osama-attack/
post-171914,21 November 2018,Did a High School Volleyball Team Receive Money and New Gear After the Paradise Fire?,"The Paradise Adventist Academy in California received around $13,000 in donations as well as new uniforms and clothes from an opponent in a game played shortly after their hometown was destroyed by the Camp Fire.",true,charity politics ,,,https://www.snopes.com/fact-check/volleyball-team-paradise-fire/
post-171922,19 November 2018,"Did Melania Trump’s One-Day Trip to Toronto Cost $174,000 in Hotel Charges?","Melania Trump's one-day visit to Toronto resulted in $174,000 in hotel charges.",true,politicians politics ,,melania-trump ,https://www.snopes.com/fact-check/melania-trump-toronto-hotel/
post-171970,21 November 2018,Was HHS Drug Pricing Czar Daniel Best’s Death Ruled a Suicide Despite Evidence of Foul Play?,A medical examiner's conclusion that Health and Human Services drug pricing adviser Daniel Best died of multiple blunt force injuries contradicts the official ruling that he committed suicide.,false,conspiracy-theories politics ,,,https://www.snopes.com/fact-check/daniel-best-suicide-foul-play/
post-171980,19 November 2018,Is This a Selfie Jimi Hendrix Took with Jim Morrison and Bruce Lee?,A photograph captures a selfie Jimi Hendrix took with Jim Morrison and Bruce Lee.,false,photos ,,bruce-lee jim-morrison jimi-hendrix ,https://www.snopes.com/fact-check/jimi-hendrix-selfie/
post-171990,19 November 2018,Did U.S. Representative-Elect Ilhan Omar Say ‘White Men Should Be Put in Chains’?,Ilhan Omar once called for white men to be enslaved and put in chains due to their reluctance to convert to Islam. ,false,politics political-quotes ,,ilhan-omar ,https://www.snopes.com/fact-check/ilhan-omar-white-men/
